film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,1,NULL,6,0.99,86,20.99,PG,"Deleted Scenes,Behind the Scenes","2007-04-08 01:08:12"
2,"ACE GOLDFINGER","A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China",2008,1,NULL,3,4.99,48,12.99,G,"Trailers,Deleted Scenes","1995-11-24 07:24:12"
3,"ADAPTATION HOLES","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory",2001,1,NULL,7,2.99,50,18.99,NC-17,"Trailers,Deleted Scenes","2025-01-04 06:03:50"
4,"AFFAIR PREJUDICE","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank",1998,1,NULL,5,2.99,117,26.99,G,"Commentaries,Behind the Scenes","2001-12-21 09:44:16"
5,"AFRICAN EGG","A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico",2012,1,NULL,6,2.99,130,22.99,G,"Deleted Scenes","2021-08-10 19:13:58"
6,"AGENT TRUMAN","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China",2015,1,NULL,3,2.99,169,17.99,PG,"Deleted Scenes","2018-03-29 13:58:12"
7,"AIRPLANE SIERRA","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat",2013,1,NULL,6,4.99,62,28.99,PG-13,"Trailers,Deleted Scenes","2012-03-11 05:01:24"
8,"AIRPORT POLLOCK","A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India",2011,1,NULL,6,4.99,54,15.99,R,Trailers,"2018-09-18 12:38:19"
9,"ALABAMA DEVIL","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat",1995,1,NULL,3,2.99,114,21.99,PG-13,"Trailers,Deleted Scenes","2012-10-24 22:25:51"
10,"ALADDIN CALENDAR","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China",2025,1,NULL,6,4.99,63,24.99,NC-17,"Trailers,Deleted Scenes","1994-09-01 10:11:33"
11,"ALAMO VIDEOTAPE","A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention",2012,1,NULL,6,0.99,126,16.99,G,"Commentaries,Behind the Scenes","2013-05-11 11:20:03"
12,"ALASKA PHANTOM","A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia",2009,1,NULL,6,0.99,136,22.99,PG,"Commentaries,Deleted Scenes","2023-06-30 04:50:25"
13,"ALI FOREVER","A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies",2023,1,NULL,4,4.99,150,21.99,PG,"Deleted Scenes,Behind the Scenes","2009-03-19 03:23:11"
14,"ALICE FANTASIA","A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia",2016,1,NULL,6,0.99,94,23.99,NC-17,"Trailers,Deleted Scenes,Behind the Scenes","2006-09-22 03:19:44"
15,"ALIEN CENTER","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention",1999,1,NULL,5,2.99,46,10.99,NC-17,"Trailers,Commentaries,Behind the Scenes","2018-02-01 05:41:59"
16,"ALLEY EVOLUTION","A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans",2012,1,NULL,6,2.99,180,23.99,NC-17,"Trailers,Commentaries","2017-09-04 09:23:49"
